id;vármegye;település;típus;férfi_2024;nő_2024;férfi_2025;nő_2025
17376;FEJ;Aba;város;2346;2276;2344;2284
12441;SZO;Abádszalók;város;2036;2108;1984;2086
12548;BAR;Abaliget;község;339;311;331;296
24554;HEV;Abasár;község;1207;1322;1206;1315
15662;BOR;Abaújalpár;község;32;35;35;40
26718;BOR;Abaújkér;község;284;311;285;317
02820;BOR;Abaújlak;község;44;37;40;35
03595;BOR;Abaújszántó;város;1394;1433;1387;1418
26338;BOR;Abaújszolnok;község;126;114;125;126
02273;BOR;Abaújvár;község;144;122;139;117
11882;GYO;Abda;község;1671;1694;1638;1659
10357;BOR;Abod;község;82;86;72;81
27872;PES;Abony;város;7281;7727;7256;7709
04561;VES;Ábrahámhegy;község;318;309;322;308
04428;KOM;Ács;város;3543;3629;3538;3636
18573;PES;Acsa;község;676;651;689;677
07214;VAS;Acsád;község;297;358;296;361
33385;GYO;Acsalag;község;260;238;254;234
18139;KOM;Ácsteszér;község;347;346;344;359
23241;HEV;Adács;község;1320;1340;1308;1332
06080;SOM;Ádánd;község;1084;1150;1074;1124
07302;VES;Adásztevel;község;397;420;395;417
08925;FEJ;Adony;város;2091;2130;2115;2123
31307;VES;Adorjánháza;község;186;186;191;195
06868;BAR;Adorjás;község;90;92;90;87
25812;BAR;Ág;község;93;90;89;89
17686;BAC;Ágasegyháza;község;1016;999;1013;993
04880;GYO;Ágfalva;község;1211;1195;1220;1219
09362;BOR;Aggtelek;község;253;273;249;267
29407;GYO;Agyagosszergény;község;492;487;490;487
08776;SZA;Ajak;város;1729;1869;1718;1849
06673;VES;Ajka;város;12860;14057;12689;13890
06682;KOM;Aka;község;140;120;138;121
21944;BAC;Akasztó;község;1634;1666;1631;1670
33093;BOR;Alacska;község;333;373;324;355
26824;FEJ;Alap;község;965;973;949;974
25265;SZO;Alattyán;község;1030;1077;1014;1067
31653;PES;Albertirsa;város;6700;7209;6814;7269
15176;FEJ;Alcsútdoboz;község;763;772;759;758
06345;HEV;Aldebrő;község;363;358;363;361
34245;CSO;Algyő;nagyközség;2713;2843;2709;2801
02644;ZAL;Alibánfa;község;219;208;213;207
13329;BAR;Almamellék;község;207;206;204;192
32346;KOM;Almásfüzitő;község;987;1065;963;1042
23384;ZAL;Almásháza;község;41;37;43;37
29595;BEK;Almáskamarás;község;414;373;396;367
20376;BAR;Almáskeresztúr;község;44;43;41;42
27641;HAJ;Álmosd;község;893;927;903;941
20482;BOR;Alsóberecki;község;362;366;373;374
34184;SOM;Alsóbogát;község;130;121;126;115
19664;BOR;Alsódobsza;község;151;132;152;134
14429;BOR;Alsógagy;község;36;48;36;48
17385;BAR;Alsómocsolád;község;137;152;140;154
29665;TOL;Alsónána;község;335;369;323;356
23199;PES;Alsónémedi;nagyközség;2816;2926;2828;2914
19512;ZAL;Alsónemesapáti;község;336;325;338;323
11563;TOL;Alsónyék;község;343;354;348;357
30526;VES;Alsóörs;község;996;1054;1001;1058
32081;ZAL;Alsópáhok;község;754;821;769;834
16425;NOG;Alsópetény;község;298;295;296;305
18829;ZAL;Alsórajk;község;161;177;161;172
23223;BOR;Alsóregmec;község;101;102;99;101
08767;ZAL;Alsószenterzsébet;község;28;17;29;20
25283;FEJ;Alsószentiván;község;279;272;280;272
33279;BAR;Alsószentmárton;község;636;580;634;577
22549;VAS;Alsószölnök;község;176;192;171;191
28839;BOR;Alsószuha;község;202;215;203;216
08217;BOR;Alsótelekes;község;75;69;77;69
07621;NOG;Alsótold;község;119;114;118;106
22725;VAS;Alsóújlak;község;282;293;276;288
29814;BOR;Alsóvadász;község;787;798;785;790
21032;BOR;Alsózsolca;város;2860;2818;2831;2798
16197;CSO;Ambrózfalva;község;242;233;243;232
29975;SZA;Anarcs;község;973;999;988;1002
28714;SOM;Andocs;község;513;519;506;514
17987;HEV;Andornaktálya;község;1340;1386;1331;1354
12317;VAS;Andrásfa;község;133;108;134;115
34227;KOM;Annavölgy;község;461;470;473;481
28370;VES;Apácatorna;község;89;91;88;90
20303;SZA;Apagy;község;1166;1192;1164;1190
33561;PES;Apaj;község;598;569;595;565
26125;TOL;Aparhant;község;501;487;498;476
14252;CSO;Apátfalva;község;1489;1541;1495;1541
08873;VAS;Apátistvánfalva;község;183;221;185;219
27298;BAR;Apátvarasd;község;66;58;68;55
07241;HEV;Apc;község;1217;1254;1226;1253
10108;PES;Áporka;község;671;627;663;631
21148;BAC;Apostag;község;1110;1048;1105;1051
09353;SZA;Aranyosapáti;község;1063;1124;1067;1127
06886;BAR;Aranyosgadány;község;191;184;197;171
26198;BOR;Arka;község;36;33;36;33
14331;BOR;Arló;nagyközség;1831;1849;1806;1843
03771;BOR;Arnót;község;1177;1224;1182;1219
03823;BOR;Ároktő;község;546;579;567;598
19062;CSO;Árpádhalom;község;227;197;215;199
32249;GYO;Árpás;község;150;130;151;134
03319;HAJ;Ártánd;község;386;322;394;323
10339;CSO;Ásotthalom;község;2003;2033;1992;2008
26921;GYO;Ásványráró;község;1150;1123;1167;1131
04233;BOR;Aszaló;község;900;966;899;959
23852;KOM;Ászár;község;847;877;856;879
16188;PES;Aszód;város;2992;3249;2961;3240
07339;VES;Aszófő;község;257;242;253;233
28583;BAR;Áta;község;90;99;90;90
06503;HEV;Átány;község;804;766;799;772
16090;HEV;Atkár;község;886;971;880;963
32735;TOL;Attala;község;381;382;381;386
05403;BAR;Babarc;község;354;382;347;380
09663;BAR;Babarcszőlős;község;57;54;56;52
30474;SOM;Babócsa;község;728;778;723;786
19363;KOM;Bábolna;város;1666;1720;1679;1730
28316;SOM;Bábonymegyer;község;410;415;411;426
21263;ZAL;Babosdöbréte;község;269;263;261;264
15042;GYO;Babót;község;558;556;557;552
10719;BAC;Bácsalmás;város;3114;3257;3103;3222
10180;BAC;Bácsbokod;nagyközség;1226;1258;1246;1256
27234;BAC;Bácsborsód;község;539;556;526;544
08697;BAC;Bácsszentgyörgy;község;74;66;73;67
30155;BAC;Bácsszőlős;község;168;148;167;150
22327;VES;Badacsonytomaj;város;1065;1116;1042;1100
03267;VES;Badacsonytördemic;község;464;456;467;455
09131;PES;Bag;nagyközség;1986;1957;1994;1968
20011;HAJ;Bagamér;nagyközség;1251;1262;1239;1262
11059;ZAL;Baglad;község;25;33;26;33
30368;ZAL;Bagod;község;624;593;615;591
28769;GYO;Bágyogszovát;község;676;668;662;658
29212;KOM;Baj;község;1455;1457;1448;1458
03522;BAC;Baja;vármegyei jogú város;16046;18005;15857;17853
17020;VAS;Bajánsenye;község;243;261;250;267
16744;KOM;Bajna;község;944;977;938;970
29355;KOM;Bajót;község;815;857;802;853
04738;ZAL;Bak;község;782;816;778;828
14395;SOM;Bakháza;község;92;73;93;71
22275;BAR;Bakóca;község;135;147;138;151
15167;HAJ;Bakonszeg;község;567;597;551;603
08299;BAR;Bakonya;község;186;201;191;213
24244;KOM;Bakonybánk;község;218;219;216;213
23746;VES;Bakonybél;község;555;584;555;577
08730;FEJ;Bakonycsernye;község;1541;1582;1552;1581
28936;GYO;Bakonygyirót;község;90;91;92;92
29513;VES;Bakonyjákó;község;385;357;393;364
07287;VES;Bakonykoppány;község;96;104;97;105
23153;FEJ;Bakonykúti;község;87;84;81;82
25991;VES;Bakonynána;község;477;498;468;498
30410;VES;Bakonyoszlop;község;227;232;225;233
22062;GYO;Bakonypéterd;község;161;133;159;134
06327;VES;Bakonypölöske;község;213;208;211;206
29902;VES;Bakonyság;község;38;43;33;40
25229;KOM;Bakonysárkány;község;488;516;506;522
23922;VES;Bakonyszentiván;község;115;102;114;102
22813;VES;Bakonyszentkirály;község;416;404;411;405
05944;GYO;Bakonyszentlászló;község;877;865;876;863
22381;KOM;Bakonyszombathely;község;726;731;735;734
26417;VES;Bakonyszücs;község;144;121;132;114
24129;VES;Bakonytamási;község;314;297;304;287
29106;CSO;Baks;község;973;1037;959;1042
03975;BAR;Baksa;község;398;415;414;415
18184;BOR;Baktakék;község;406;407;410;412
02325;SZA;Baktalórántháza;város;1806;1911;1801;1893
15097;ZAL;Baktüttös;község;171;180;168;178
22521;BOR;Balajt;község;267;246;261;246
13657;NOG;Balassagyarmat;város;6551;7380;6457;7282
23676;CSO;Balástya;község;1761;1745;1747;1737
11527;HEV;Balaton;község;496;506;489;499
25308;VES;Balatonakali;község;371;362;369;353
34421;VES;Balatonakarattya;község;530;505;567;515
05838;VES;Balatonalmádi;város;4915;5232;4919;5253
27377;SOM;Balatonberény;község;645;657;638;671
33853;SOM;Balatonboglár;város;2651;3000;2613;2959
03072;VES;Balatoncsicsó;község;125;149;120;143
12238;VES;Balatonederics;község;559;549;552;555
19460;SOM;Balatonendréd;község;632;731;630;727
20729;SOM;Balatonfenyves;község;1098;1207;1096;1201
29461;VES;Balatonfőkajár;község;686;700;690;715
07117;SOM;Balatonföldvár;város;1110;1209;1132;1219
21175;VES;Balatonfüred;város;6193;6992;6176;7003
02219;VES;Balatonfűzfő;város;2182;2327;2182;2331
17002;ZAL;Balatongyörök;község;759;760;767;770
03638;VES;Balatonhenye;község;70;63;69;69
05148;VES;Balatonkenese;város;1332;1374;1346;1368
07375;SOM;Balatonkeresztúr;község;895;946;914;949
33862;SOM;Balatonlelle;város;2393;2504;2372;2493
26462;ZAL;Balatonmagyaród;község;231;248;240;250
14562;SOM;Balatonmáriafürdő;község;425;467;430;460
11916;SOM;Balatonőszöd;község;282;309;285;310
33844;VES;Balatonrendes;község;102;100;104;102
16601;SOM;Balatonszabadi;község;1470;1541;1463;1568
24907;SOM;Balatonszárszó;nagyközség;1057;1154;1065;1169
22822;SOM;Balatonszemes;község;851;949;854;947
21324;SOM;Balatonszentgyörgy;község;794;859;792;862
17154;VES;Balatonszepezd;község;236;233;242;235
28501;VES;Balatonszőlős;község;328;318;325;315
15565;VES;Balatonudvari;község;189;207;189;209
16470;SOM;Balatonújlak;község;234;246;237;250
03559;SOM;Balatonvilágos;község;763;704;787;683
31103;FEJ;Balinka;község;460;476;456;471
26958;SZA;Balkány;város;3014;2960;2991;2933
13408;BAC;Ballószög;község;2247;2194;2294;2239
02918;HAJ;Balmazújváros;város;8536;8967;8611;8989
05102;VAS;Balogunyom;község;578;576;577;582
25937;BAC;Balotaszállás;község;727;791;718;775
15963;SZA;Balsa;község;367;352;366;338
24457;SOM;Bálványos;község;303;313;303;307
31422;KOM;Bana;község;769;819;759;808
14173;VES;Bánd;község;370;355;384;366
07603;BAR;Bánfa;község;95;97;96;96
25159;BOR;Bánhorváti;község;653;678;652;682
24341;NOG;Bánk;község;364;369;372;374
08439;ZAL;Bánokszentgyörgy;község;303;295;298;292
21953;BOR;Bánréve;község;575;630;577;629
24378;BAR;Bár;község;309;300;308;301
26480;SZA;Barabás;község;499;459;485;451
07047;FEJ;Baracs;község;1877;1792;1893;1794
08581;FEJ;Baracska;község;1456;1420;1461;1405
26693;HAJ;Báránd;község;1219;1177;1221;1176
20464;BAR;Baranyahídvég;község;105;85;99;80
24749;BAR;Baranyajenő;község;237;232;236;241
05485;BAR;Baranyaszentgyörgy;község;62;58;62;60
06196;GYO;Barbacs;község;406;386;401;379
32799;SOM;Barcs;város;4935;5419;4902;5380
03735;SOM;Bárdudvarnok;község;589;582;590;576
27447;ZAL;Barlahida;község;78;60;75;62
20048;NOG;Bárna;község;490;489;478;469
15778;VES;Barnag;község;70;61;73;63
08624;KOM;Bársonyos;község;354;421;345;417
15495;BAR;Basal;község;113;109;113;113
08846;BOR;Baskó;község;82;94;82;92
11712;TOL;Báta;község;740;790;727;764
28909;TOL;Bátaapáti;község;198;178;192;178
08864;TOL;Bátaszék;város;3011;3249;3007;3234
32337;SOM;Baté;község;393;417;388;411
03656;BAC;Bátmonostor;község;770;774;776;777
33534;NOG;Bátonyterenye;város;5593;5848;5524;5771
24022;HEV;Bátor;község;182;202;185;199
02990;SZA;Bátorliget;község;312;302;303;300
18102;BEK;Battonya;város;2822;2971;2801;2947
11961;BAC;Bátya;község;1003;987;991;979
24864;ZAL;Batyk;község;195;197;206;204
18698;ZAL;Bázakerettye;község;368;378;367;365
07427;VES;Bazsi;község;239;219;247;216
22901;VES;Béb;község;141;144;140;147
23144;ZAL;Becsehely;község;989;1018;992;1014
12016;NOG;Becske;község;265;280;261;279
27049;BOR;Becskeháza;község;16;19;16;19
18360;ZAL;Becsvölgye;község;380;393;367;380
20710;SOM;Bedegkér;község;207;185;211;185
33446;HAJ;Bedő;község;211;199;209;201
10384;VAS;Bejcgyertyános;község;208;219;207;219
27058;VES;Békás;község;117;104;118;96
06929;BOR;Bekecs;község;1195;1239;1178;1217
09760;BEK;Békés;város;9065;9499;8995;9382
15200;BEK;Békéscsaba;vármegye székhely;26667;30065;26396;29754
26189;BEK;Békéssámson;község;1167;1145;1165;1120
02680;BEK;Békésszentandrás;nagyközség;1773;1773;1777;1756
04400;HEV;Bekölce;község;309;329;308;335
33260;HEV;Bélapátfalva;város;1268;1485;1271;1437
06910;SOM;Bélavár;község;160;177;162;174
28662;TOL;Belecska;község;167;160;165;161
10588;GYO;Beled;város;1238;1303;1224;1290
17127;SOM;Beleg;község;314;268;321;282
09168;ZAL;Belezna;község;327;322;326;318
19390;BEK;Bélmegyer;község;451;397;446;393
08466;FEJ;Beloiannisz;község;566;553;568;552
20950;ZAL;Belsősárd;község;52;45;63;50
19008;BAR;Belvárdgyula;község;194;200;186;205
25441;SZA;Benk;község;241;228;239;226
25098;PES;Bénye;község;620;664;620;679
32911;NOG;Bér;község;191;188;184;190
32124;VAS;Bérbaltavár;község;279;251;278;252
02389;NOG;Bercel;község;847;851;846;836
28246;SZA;Beregdaróc;község;532;479;524;465
20677;SZA;Beregsurány;község;450;432;448;422
18467;HAJ;Berekböszörmény;község;1024;977;1041;975
34005;SZO;Berekfürdő;község;657;727;657;721
31927;BAR;Beremend;nagyközség;1135;1189;1128;1183
34290;BOR;Berente;község;497;576;495;573
29674;BOR;Beret;község;181;150;179;151
12788;HAJ;Berettyóújfalu;város;6926;7452;6908;7434
33127;VES;Berhida;város;2959;2983;2946;2977
09034;NOG;Berkenye;község;370;403;375;413
16461;BAR;Berkesd;község;432;407;427;407
07472;SZA;Berkesz;község;386;383;387;383
18777;PES;Bernecebaráti;község;397;413;401;406
26356;BOR;Berzék;község;496;493;487;487
30119;SOM;Berzence;nagyközség;1115;1266;1122;1250
30049;BAR;Besence;község;69;54;67;52
13639;SZA;Besenyőd;község;413;407;406;408
27517;HEV;Besenyőtelek;község;1290;1323;1295;1316
11305;SZO;Besenyszög;város;1594;1626;1585;1631
16346;FEJ;Besnyő;község;912;916;936;932
21227;SZA;Beszterec;község;475;495;472;487
14119;BAR;Bezedek;község;98;109;97;111
29805;GYO;Bezenye;község;748;816;730;805
12830;ZAL;Bezeréd;község;89;80;89;79
10560;GYO;Bezi;község;264;259;276;259
08891;PES;Biatorbágy;város;7585;7626;7678;7669
13310;BAR;Bicsérd;község;521;527;529;520
10481;FEJ;Bicske;város;6180;6244;6230;6245
25256;HAJ;Bihardancsháza;község;84;74;88;72
19956;HAJ;Biharkeresztes;város;2442;2404;2478;2422
24828;HAJ;Biharnagybajom;község;1347;1250;1323;1233
29887;HAJ;Bihartorda;község;484;497;486;496
29610;BEK;Biharugra;község;430;413;429;410
11970;TOL;Bikács;község;226;199;223;196
04899;BAR;Bikal;község;324;338;345;345
02945;SZA;Biri;község;656;673;649;667
05139;BAR;Birján;község;282;272;281;266
24925;BAR;Bisse;község;122;122;120;113
29203;VAS;Boba;község;401;388;400;390
17543;ZAL;Bocfölde;község;584;600;582;593
22354;HEV;Boconád;község;650;641;635;633
08305;BAC;Bócsa;község;985;935;981;943
31291;ZAL;Bocska;község;150;151;146;153
34102;HAJ;Bocskaikert;község;2084;2148;2114;2179
20899;BAR;Boda;község;237;217;238;224
18254;FEJ;Bodajk;város;1928;1996;1935;1989
11624;FEJ;Bodmér;község;129;135;131;134
33002;BAR;Bodolyabér;község;121;113;124;114
06220;GYO;Bodonhely;község;192;170;194;178
14933;HEV;Bodony;község;358;365;356;358
04321;VES;Bodorfa;község;52;34;54;38
10506;SOM;Bodrog;község;209;203;206;206
23737;BOR;Bodroghalom;község;632;655;629;651
30784;BOR;Bodrogkeresztúr;község;439;462;429;457
33808;BOR;Bodrogkisfalud;község;404;426;400;411
14401;BOR;Bodrogolaszi;község;430;457;434;457
27429;BOR;Bódvalenke;község;179;165;183;171
33303;BOR;Bódvarákó;község;41;36;38;35
05926;BOR;Bódvaszilas;község;479;538;471;524
25195;BOR;Bogács;község;1032;1137;1015;1122
32151;BAR;Bogád;község;602;584;597;586
21892;BAR;Bogádmindszent;község;223;197;220;194
10694;BAR;Bogdása;község;125;131;127;133
03425;TOL;Bogyiszló;község;1046;1079;1044;1071
04367;GYO;Bogyoszló;község;324;312;317;305
14137;HAJ;Bojt;község;310;292;312;282
19929;ZAL;Bókaháza;község;149;145;151;144
07311;KOM;Bokod;község;1100;1166;1093;1152
03841;NOG;Bokor;község;50;53;46;54
03452;HEV;Boldog;község;1448;1515;1455;1520
13116;BAR;Boldogasszonyfa;község;231;210;226;202
18944;BOR;Boldogkőújfalu;község;336;329;321;331
14474;BOR;Boldogkőváralja;község;477;503;471;496
08396;BOR;Boldva;község;1293;1195;1291;1191
13994;SOM;Bolhás;község;199;199;198;201
18120;SOM;Bolhó;község;368;362;381;364
33154;BAR;Bóly;város;1797;1925;1772;1910
10782;ZAL;Boncodfölde;község;178;186;185;189
06497;TOL;Bonyhád;város;5806;6401;5741;6303
14818;TOL;Bonyhádvarasd;község;209;218;205;212
22673;SOM;Bonnya;község;130;130;124;123
08192;CSO;Bordány;község;1708;1636;1704;1643
03090;VAS;Borgáta;község;120;127;134;131
06725;BAR;Borjád;község;219;197;224;196
19327;BAC;Borota;község;614;610;610;611
10056;ZAL;Borsfa;község;356;348;344;340
30669;BOR;Borsodbóta;község;406;430;402;425
16124;BOR;Borsodgeszt;község;142;141;137;134
06707;BOR;Borsodivánka;község;311;345;314;338
05315;BOR;Borsodnádasd;város;1439;1540;1433;1499
30207;BOR;Borsodszentgyörgy;község;545;594;538;572
16799;BOR;Borsodszirák;község;609;619;601;611
09894;NOG;Borsosberény;község;457;439;448;450
04765;VES;Borszörcsök;község;196;202;194;200
30252;VES;Borzavár;község;393;367;396;364
14368;BAR;Bosta;község;69;76;69;74
22239;SZA;Botpalád;község;479;370;473;366
13365;BAR;Botykapeterd;község;183;178;180;181
06390;VAS;Bozzai;község;155;142;149;148
05023;VAS;Bozsok;község;186;185;186;185
31006;BOR;Bózsva;község;103;109;97;111
